text,category,source,tags
"The Higgs boson, a subatomic particle, was discovered in 2012 at the Large Hadron Collider, confirming the existence of the Higgs field that gives mass to other particles.","science","CERN","higgs boson;particle physics;cern;discovery"
"The speed of light in a vacuum is approximately 186,282 miles per second (299,792 km/s), a constant that forms the basis of Einstein's theory of relativity.","science","NASA","speed of light;physics;einstein;relativity"
"CRISPR-Cas9, a gene-editing technology developed in 2012, allows scientists to make precise changes to DNA, offering potential cures for genetic diseases.","science","Britannica","crispr;gene editing;dna;biotechnology"
"The Mona Lisa, painted by Leonardo da Vinci between 1503 and 1519, is one of the most famous and enigmatic artworks in the world, housed in the Louvre Museum.","culture","Britannica","mona lisa;leonardo da vinci;art;louvre"
"The Olympic Games, originating in ancient Greece around 776 BC, were initially held to honor Zeus and featured only a single event: a footrace.","culture","Britannica","olympics;ancient greece;zeus;sports"
"The tradition of breaking a wishbone, common in many cultures, originated from the Etruscans in ancient Italy, who believed the clavicle of a chicken held mystical powers.","culture","Britannica","wishbone;etruscans;traditions;superstition"
"The first recorded use of fireworks was in China around 800 AD, where they were invented by alchemists searching for an elixir of life.","culture","Britannica","fireworks;china;alchemy;invention"
"The art of origami, the Japanese practice of paper folding, dates back to the 6th century AD and has evolved into a complex art form with thousands of designs.","culture","Britannica","origami;japan;paper folding;art"
"The most children delivered at a single birth to survive is 9, achieved by a woman in 2021, as verified by Guinness World Records.","records","Guinness World Records","birth;children;survival;medical"
"The largest cow ever recorded measured 190 cm (74.8 in) from hoof to withers, as documented in 2014 by Guinness World Records.","records","Guinness World Records","cow;size;animals;farming"
"The fastest marathon dressed as an elf was completed in 2 hours, 58 minutes, and 16 seconds by a runner in 2017, as per Guinness World Records.","records","Guinness World Records","marathon;costume;running;speed"
"The longest time breath held voluntarily is 24 minutes and 37.36 seconds, achieved by Budimir Šobat in 2021, according to Guinness World Records.","records","Guinness World Records","breath holding;endurance;physiology;extreme"
"The heaviest train pulled with a beard weighed 2,753.1 kg (6,069 lbs) and was pulled over 10 meters (32.8 ft) by a man in 2001, as recorded by Guinness World Records.","records","Guinness World Records","strength;train;beard;unusual"
"The first recorded use of the fork as an eating utensil dates back to the 10th century in the Byzantine Empire, though it was initially viewed with suspicion in Europe.","inventions","Smithsonian Magazine","fork;utensils;byzantine;eating"
"The modern zipper was invented by Gideon Sundback in 1913, but early versions of the concept date back to the 19th century.","inventions","Britannica","zipper;gideon sundback;fasteners;clothing"
"The first mechanical clock, invented in the 13th century, used a system of gears and weights to keep time, marking a significant advancement in timekeeping.","inventions","Britannica","clock;timekeeping;gears;medieval"
"The first recorded use of the wheel dates back to Mesopotamia around 3500 BC, revolutionizing transportation and technology.","inventions","Britannica","wheel;mesopotamia;transportation;ancient"
"The first recorded use of the compass for navigation dates back to China in the 11th century, with the first definitive mention in a book from 1044 AD.","inventions","Britannica","compass;navigation;china;maritime"
"The plunge for distance, an Olympic event in 1900, combined long jump and swimming, with competitors diving and remaining still for 1 minute; William Dickey won by traveling 62.5 feet (19.1 meters).","sports","Britannica","olympics;plunge for distance;swimming;1900"
"The obstacle swim, held at the 1900 Paris Olympics, required competitors to climb over and swim under boats in the Seine River over a 200-meter course; Frederick Lane from Australia won.","sports","Britannica","olympics;obstacle swim;paris;seine river"
"The longest Olympic race ever was the marathon at the 1908 London Games, which was 26 miles and 385 yards (42.195 km), the standard distance for modern marathons.","sports","Britannica","olympics;marathon;london;distance"
"The first recorded use of the term 'Olympic Games' dates back to ancient Greece around 776 BC, with the games held every four years to honor Zeus.","sports","Britannica","olympics;ancient greece;zeus;history"
"The arts were Olympic events for over 35 years, from 1912 to 1948, including literature, music, painting, architecture, sculpture, and chorus singing; Germany won 24 medals, and Italy won 14.","sports","Britannica","olympics;arts;medals;competition"
"The first digital computers were invented in the 1940s, with the ENIAC (Electronic Numerical Integrator and Computer) being one of the earliest, completed in 1945.","tech","Britannica","computers;eniac;digital;1940s"
"The transistor, invented in 1947 by Bell Labs engineers, revolutionized electronics by replacing bulky vacuum tubes, leading to the development of modern computers.","tech","Britannica","transistor;bell labs;electronics;computers"
"The Higgs boson, a subatomic particle, was discovered in 2012 at the Large Hadron Collider, confirming the existence of the Higgs field that gives mass to other particles.","tech","CERN","higgs boson;particle physics;lhc;discovery"
"The speed of light in a vacuum is approximately 186,282 miles per second (299,792 km/s), a constant that forms the basis of Einstein's theory of relativity.","tech","NASA","speed of light;physics;constants;relativity"
"CRISPR-Cas9, a gene-editing technology developed in 2012, allows scientists to make precise changes to DNA, offering potential cures for genetic diseases.","tech","Britannica","crispr;gene editing;biotechnology;medicine"
"The iPhone, released by Apple in 2007, became a cultural phenomenon for its touch-sensitive multisensor interface, though it was not the first smartphone.","century","Britannica","iphone;apple;smartphone;touchscreen"
"The first self-driving car prototype was developed by Google in 2009, marking a significant step toward autonomous transportation.","century","Britannica","self-driving cars;google;autonomous;transportation"
"The first recorded use of the term 'smartphone' was in 1997, but the device didn't become mainstream until the launch of the iPhone in 2007.","century","Britannica","smartphone;mobile phones;technology;mainstream"
"Social media platforms like Facebook and Twitter, launched in the early 2000s, have transformed communication, with over 3.96 billion active users worldwide by 2022.","century","Statista","social media;facebook;twitter;communication"
"3-D printing, once a niche technology, is now used in healthcare for on-demand products like custom dental work and prosthetic limbs, revolutionizing manufacturing.","century","InnovationManagement","3d printing;healthcare;manufacturing;prosthetics"
